building,street,unit,type,pdf_x0,pdf_y0,pdf_x1,pdf_y1,px_x0,px_y0,px_x1,px_y1
3560,CL,1,2BR,1015.2,287.14,1035.92,294.54,4574.3,691.6,4669.6,725.7
3560,CL,2,2BR,1015.2,279.74,1035.92,287.14,4574.3,657.6,4669.6,691.6
3560,CL,3,2BR,1035.92,287.14,1056.64,294.54,4669.6,691.6,4764.9,725.7
3560,CL,4,2BR,1035.92,279.74,1056.64,287.14,4669.6,657.6,4764.9,691.6
3561,CL,1,2BR,973.76,253.84,994.48,261.24,4383.7,538.5,4479,572.5
3561,CL,2,2BR,973.76,246.44,994.48,253.84,4383.7,504.4,4479,538.5
3561,CL,3,2BR,994.48,253.84,1015.2,261.24,4479,538.5,4574.3,572.5
3561,CL,4,2BR,994.48,246.44,1015.2,253.84,4479,504.4,4574.3,538.5
3562,CL,1,2BR,973.76,287.14,994.48,294.54,4383.7,691.6,4479,725.7
3562,CL,2,2BR,973.76,279.74,994.48,287.14,4383.7,657.6,4479,691.6
3562,CL,3,2BR,994.48,287.14,1015.2,294.54,4479,691.6,4574.3,725.7
3562,CL,4,2BR,994.48,279.74,1015.2,287.14,4479,657.6,4574.3,691.6
3591,CL,1,2BR,839.08,257.54,859.8,264.94,3764.2,555.5,3859.5,589.5
3591,CL,2,2BR,839.08,250.14,859.8,257.54,3764.2,521.4,3859.5,555.5
3591,CL,3,2BR,818.36,257.54,839.08,264.94,3668.9,555.5,3764.2,589.5
3591,CL,4,2BR,818.36,250.14,839.08,257.54,3668.9,521.4,3764.2,555.5
3592,CL,1,2BR,839.08,279.74,859.8,287.14,3764.2,657.6,3859.5,691.6
3592,CL,2,2BR,839.08,287.14,859.8,294.54,3764.2,691.6,3859.5,725.7
3592,CL,3,2BR,818.36,279.74,839.08,287.14,3668.9,657.6,3764.2,691.6
3592,CL,4,2BR,818.36,287.14,839.08,294.54,3668.9,691.6,3764.2,725.7
3596,CL,1,2BR,797.64,287.14,818.36,294.54,3573.5,691.6,3668.9,725.7
3596,CL,2,2BR,797.64,279.74,818.36,287.14,3573.5,657.6,3668.9,691.6
3596,CL,3,2BR,776.92,279.74,797.64,287.14,3478.2,657.6,3573.5,691.6
3596,CL,4,2BR,776.92,287.14,797.64,294.54,3478.2,691.6,3573.5,725.7
3597,CL,1,2BR,797.64,257.54,818.36,264.94,3573.5,555.5,3668.9,589.5
3597,CL,2,2BR,797.64,250.14,818.36,257.54,3573.5,521.4,3668.9,555.5
3597,CL,3,2BR,776.92,257.54,797.64,264.94,3478.2,555.5,3573.5,589.5
3597,CL,4,2BR,776.92,250.14,797.64,257.54,3478.2,521.4,3573.5,555.5
3600,CL,1,2BR,756.2,279.74,776.92,287.14,3382.9,657.6,3478.2,691.6
3600,CL,2,2BR,756.2,287.14,776.92,294.54,3382.9,691.6,3478.2,725.7
3600,CL,3,2BR,735.48,279.74,756.2,287.14,3287.6,657.6,3382.9,691.6
3600,CL,4,2BR,735.48,287.14,756.2,294.54,3287.6,691.6,3382.9,725.7
3601,CL,1,2BR,756.2,257.54,776.92,264.94,3382.9,555.5,3478.2,589.5
3601,CL,2,2BR,756.2,250.14,776.92,257.54,3382.9,521.4,3478.2,555.5
3601,CL,3,2BR,735.48,257.54,756.2,264.94,3287.6,555.5,3382.9,589.5
3601,CL,4,2BR,735.48,250.14,756.2,257.54,3287.6,521.4,3382.9,555.5
3632,CL,1,2BR,580.08,279.74,600.8,287.14,2572.8,657.6,2668.1,691.6
3632,CL,2,2BR,580.08,287.14,600.8,294.54,2572.8,691.6,2668.1,725.7
3632,CL,3,2BR,600.8,279.74,621.52,287.14,2668.1,657.6,2763.4,691.6
3632,CL,4,2BR,600.8,287.14,621.52,294.54,2668.1,691.6,2763.4,725.7
3633,CL,1,2BR,600.8,257.54,621.52,264.94,2668.1,555.5,2763.4,589.5
3633,CL,2,2BR,600.8,250.14,621.52,257.54,2668.1,521.4,2763.4,555.5
3633,CL,3,2BR,580.08,257.54,600.8,264.94,2572.8,555.5,2668.1,589.5
3633,CL,4,2BR,580.08,250.14,600.8,257.54,2572.8,521.4,2668.1,555.5
3639,CL,1,2BR,559.36,257.54,580.08,264.94,2477.5,555.5,2572.8,589.5
3639,CL,2,2BR,559.36,250.14,580.08,257.54,2477.5,521.4,2572.8,555.5
3639,CL,3,2BR,538.64,257.54,559.36,264.94,2382.1,555.5,2477.5,589.5
3639,CL,4,2BR,538.64,250.14,559.36,257.54,2382.1,521.4,2477.5,555.5
3640,CL,1,2BR,538.64,279.74,559.36,287.14,2382.1,657.6,2477.5,691.6
3640,CL,2,2BR,538.64,287.14,559.36,294.54,2382.1,691.6,2477.5,725.7
3640,CL,3,2BR,559.36,279.74,580.08,287.14,2477.5,657.6,2572.8,691.6
3640,CL,4,2BR,559.36,287.14,580.08,294.54,2477.5,691.6,2572.8,725.7
3642,CL,1,2BR,497.2,279.74,517.92,287.14,2191.5,657.6,2286.8,691.6
3642,CL,2,2BR,497.2,287.14,517.92,294.54,2191.5,691.6,2286.8,725.7
3642,CL,3,2BR,517.92,279.74,538.64,287.14,2286.8,657.6,2382.1,691.6
3642,CL,4,2BR,517.92,287.14,538.64,294.54,2286.8,691.6,2382.1,725.7
3643,CL,1,2BR,517.92,257.54,538.64,264.94,2286.8,555.5,2382.1,589.5
3643,CL,2,2BR,517.92,250.14,538.64,257.54,2286.8,521.4,2382.1,555.5
3643,CL,3,2BR,497.2,257.54,517.92,264.94,2191.5,555.5,2286.8,589.5
3643,CL,4,2BR,497.2,250.14,517.92,257.54,2191.5,521.4,2286.8,555.5
1709,CW,1,2BR,885.52,179.84,906.24,187.24,3977.8,198.1,4073.1,232.1
1709,CW,2,2BR,864.8,179.84,885.52,187.24,3882.5,198.1,3977.8,232.1
1709,CW,3,2BR,885.52,187.24,906.24,194.64,3977.8,232.1,4073.1,266.1
1709,CW,4,2BR,864.8,187.24,885.52,194.64,3882.5,232.1,3977.8,266.1
1710,CW,1,2BR,926.96,179.84,947.68,187.24,4168.4,198.1,4263.7,232.1
1710,CW,2,2BR,947.68,179.84,968.4,187.24,4263.7,198.1,4359,232.1
1710,CW,3,2BR,926.96,187.24,947.68,194.64,4168.4,232.1,4263.7,266.1
